task_id,crop_name,stage,day_from_sowing_start,day_from_sowing_end,task_category,task,description,frequency,priority
411,Turmeric,Maturity & Harvest,250,270,Monitoring,Maturity indicators,Check color/size/firmness for harvest readiness.,Weekly,Medium
412,Turmeric,Maturity & Harvest,250,270,Harvest,Harvesting,Harvest in stages as produce matures.,As needed,Medium
413,Turmeric,Maturity & Harvest,250,270,Post-Harvest,Grading & storage,"Grade, pack and store/transport produce promptly.",One-time,Medium
414,Bajra,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
415,Bajra,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
416,Bajra,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
417,Bajra,Sowing,0,2,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
418,Bajra,Sowing,0,2,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
419,Bajra,Sowing,0,2,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
420,Bajra,Germination & Establishment,2,12,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
421,Bajra,Germination & Establishment,2,12,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
422,Bajra,Germination & Establishment,2,12,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
423,Bajra,Vegetative Growth,12,36,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
424,Bajra,Vegetative Growth,12,36,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
425,Bajra,Vegetative Growth,12,36,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
426,Bajra,Vegetative Growth,12,36,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
427,Bajra,Flowering / Reproductive,36,56,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
428,Bajra,Flowering / Reproductive,36,56,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
429,Bajra,Flowering / Reproductive,36,56,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
430,Bajra,Flowering / Reproductive,36,56,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
431,Bajra,Maturity & Pre-Harvest,56,76,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
432,Bajra,Maturity & Pre-Harvest,56,76,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
433,Bajra,Maturity & Pre-Harvest,56,76,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
434,Bajra,Harvest & Post-Harvest,76,80,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
435,Bajra,Harvest & Post-Harvest,76,80,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
436,Bajra,Harvest & Post-Harvest,76,80,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
437,Soybean,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
438,Soybean,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
439,Soybean,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
440,Soybean,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
441,Soybean,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
442,Soybean,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
443,Soybean,Germination & Establishment,3,15,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
444,Soybean,Germination & Establishment,3,15,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
445,Soybean,Germination & Establishment,3,15,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
446,Soybean,Vegetative Growth,15,45,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
447,Soybean,Vegetative Growth,15,45,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
448,Soybean,Vegetative Growth,15,45,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
449,Soybean,Vegetative Growth,15,45,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
450,Soybean,Flowering / Reproductive,45,70,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
451,Soybean,Flowering / Reproductive,45,70,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
452,Soybean,Flowering / Reproductive,45,70,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
453,Soybean,Flowering / Reproductive,45,70,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
454,Soybean,Maturity & Pre-Harvest,70,95,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
455,Soybean,Maturity & Pre-Harvest,70,95,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
456,Soybean,Maturity & Pre-Harvest,70,95,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
457,Soybean,Harvest & Post-Harvest,95,100,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
458,Soybean,Harvest & Post-Harvest,95,100,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
459,Soybean,Harvest & Post-Harvest,95,100,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
460,Onion,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
461,Onion,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
462,Onion,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
463,Onion,Sowing,0,3,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
464,Onion,Sowing,0,3,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
465,Onion,Sowing,0,3,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
466,Onion,Germination & Establishment,3,16,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
467,Onion,Germination & Establishment,3,16,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
468,Onion,Germination & Establishment,3,16,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
469,Onion,Vegetative Growth,16,50,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
470,Onion,Vegetative Growth,16,50,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
471,Onion,Vegetative Growth,16,50,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
472,Onion,Vegetative Growth,16,50,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
473,Onion,Flowering / Reproductive,50,77,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
474,Onion,Flowering / Reproductive,50,77,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
475,Onion,Flowering / Reproductive,50,77,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
476,Onion,Flowering / Reproductive,50,77,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
477,Onion,Maturity & Pre-Harvest,77,104,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
478,Onion,Maturity & Pre-Harvest,77,104,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
479,Onion,Maturity & Pre-Harvest,77,104,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
480,Onion,Harvest & Post-Harvest,104,110,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
481,Onion,Harvest & Post-Harvest,104,110,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
482,Onion,Harvest & Post-Harvest,104,110,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
483,UradBean,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
484,UradBean,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
485,UradBean,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
486,UradBean,Sowing,0,2,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
487,UradBean,Sowing,0,2,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
488,UradBean,Sowing,0,2,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
489,UradBean,Germination & Establishment,2,11,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
490,UradBean,Germination & Establishment,2,11,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
491,UradBean,Germination & Establishment,2,11,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
492,UradBean,Vegetative Growth,11,34,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
493,UradBean,Vegetative Growth,11,34,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
494,UradBean,Vegetative Growth,11,34,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
495,UradBean,Vegetative Growth,11,34,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
496,UradBean,Flowering / Reproductive,34,52,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
497,UradBean,Flowering / Reproductive,34,52,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
498,UradBean,Flowering / Reproductive,34,52,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
499,UradBean,Flowering / Reproductive,34,52,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
500,UradBean,Maturity & Pre-Harvest,52,71,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
501,UradBean,Maturity & Pre-Harvest,52,71,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
502,UradBean,Maturity & Pre-Harvest,52,71,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
503,UradBean,Harvest & Post-Harvest,71,75,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
504,UradBean,Harvest & Post-Harvest,71,75,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
505,UradBean,Harvest & Post-Harvest,71,75,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
506,Rice,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
507,Rice,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
508,Rice,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
509,Rice,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
510,Rice,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
511,Rice,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
512,Rice,Germination & Establishment,4,20,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
513,Rice,Germination & Establishment,4,20,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
514,Rice,Germination & Establishment,4,20,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
515,Rice,Vegetative Growth,20,58,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
516,Rice,Vegetative Growth,20,58,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
517,Rice,Vegetative Growth,20,58,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
518,Rice,Vegetative Growth,20,58,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
519,Rice,Flowering / Reproductive,58,91,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
520,Rice,Flowering / Reproductive,58,91,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
521,Rice,Flowering / Reproductive,58,91,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
522,Rice,Flowering / Reproductive,58,91,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
523,Rice,Maturity & Pre-Harvest,91,124,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
524,Rice,Maturity & Pre-Harvest,91,124,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
525,Rice,Maturity & Pre-Harvest,91,124,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
526,Rice,Harvest & Post-Harvest,124,130,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
527,Rice,Harvest & Post-Harvest,124,130,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
528,Rice,Harvest & Post-Harvest,124,130,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
529,Pigeonpea,Land Preparation,-14,0,Land Prep,Deep ploughing,Plough field 20-25cm deep to break hardpan and expose pests to sun.,One-time,Medium
530,Pigeonpea,Land Preparation,-14,0,Land Prep,Apply FYM/compost,Incorporate well-rotted farmyard manure 8-10 t/ha before sowing.,One-time,Medium
531,Pigeonpea,Land Preparation,-14,0,Land Prep,Leveling & bunding,Level field and form bunds/ridges as per irrigation method.,One-time,Medium
532,Pigeonpea,Sowing,0,4,Sowing,Seed treatment,Treat seed with recommended fungicide/rhizobium culture before sowing.,One-time,Medium
533,Pigeonpea,Sowing,0,4,Sowing,Sowing operation,Sow at recommended spacing and depth for the variety.,One-time,Medium
534,Pigeonpea,Sowing,0,4,Irrigation,Pre-sowing irrigation,Ensure adequate soil moisture at sowing; irrigate if dry.,One-time,High
535,Pigeonpea,Germination & Establishment,4,22,Monitoring,Germination count,Check germination percentage 7-10 days after sowing; gap-fill if needed.,Weekly,Medium
536,Pigeonpea,Germination & Establishment,4,22,Irrigation,Light irrigation,"Apply light irrigation to aid establishment, avoid waterlogging.",As needed,High
537,Pigeonpea,Germination & Establishment,4,22,Weeding,First hand weeding,Remove weeds competing with young seedlings.,One-time,Medium
538,Pigeonpea,Vegetative Growth,22,68,Fertilizer,First top dressing,Apply first split dose of Nitrogen as per soil test.,One-time,High
539,Pigeonpea,Vegetative Growth,22,68,Irrigation,Scheduled irrigation,Irrigate at critical vegetative stage based on soil moisture/ET.,Every 7-10 days,High
540,Pigeonpea,Vegetative Growth,22,68,Weeding,Inter-culturing,Hoe/inter-cultivate to control weeds and aerate soil.,Bi-weekly,Medium
541,Pigeonpea,Vegetative Growth,22,68,Pest Scouting,Scout for sucking pests,Monitor for aphid/whitefly/jassid; apply need-based control.,Weekly,High
542,Pigeonpea,Flowering / Reproductive,68,105,Fertilizer,Second top dressing,Apply remaining N and K dose at flowering/pre-flowering stage.,One-time,High
543,Pigeonpea,Flowering / Reproductive,68,105,Irrigation,Critical stage irrigation,Ensure no moisture stress during flowering - most yield-sensitive stage.,Every 5-7 days,High
544,Pigeonpea,Flowering / Reproductive,68,105,Pest Scouting,Monitor pod/fruit/boll borers,Install pheromone traps; scout and spray if ETL crossed.,Weekly,High
545,Pigeonpea,Flowering / Reproductive,68,105,Disease Scouting,Fungal disease check,Inspect for blight/rust/mildew symptoms after rain or high humidity.,Weekly,Medium
546,Pigeonpea,Maturity & Pre-Harvest,105,142,Irrigation,Reduce/stop irrigation,Withhold irrigation 10-15 days before harvest to aid maturity/drying.,One-time,High
547,Pigeonpea,Maturity & Pre-Harvest,105,142,Monitoring,Maturity check,Check grain/pod moisture and visual maturity indicators.,Weekly,Medium
548,Pigeonpea,Maturity & Pre-Harvest,105,142,Pest Scouting,Final pest check,Check for storage pests before harvest; avoid late-season sprays near harvest.,One-time,High
549,Pigeonpea,Harvest & Post-Harvest,142,150,Harvest,Harvesting,Harvest at physiological maturity to minimize shattering/quality loss.,One-time,Medium
550,Pigeonpea,Harvest & Post-Harvest,142,150,Post-Harvest,Drying & cleaning,Dry produce to safe moisture level and clean before storage/sale.,One-time,Medium
551,Pigeonpea,Harvest & Post-Harvest,142,150,Post-Harvest,Storage,Store in proper conditions to prevent pest/fungal damage.,One-time,Medium
